Nome_Musica,Artista,Genero,Ano,BPM,Energia,Dancabilidade,Valencia,Loudness,Streams,Taxa_Crescimento,Qtd_Playlists,Compartilhamentos,Taxa_Skip,Taxa_Replay,Popularidade
Grenade,Bruno Mars,Rock,2011,161,0.61,0.95,0.33,-35.29,305396340,0.71,76,199401,0.22,0.35,62
Gold Digger,Kanye West,Rock,2003,67,0.7,0.84,0.46,-0.42,56136351,1.0,226,48454,0.12,0.2,64
Work,Rihanna,Hip-Hop,1996,118,0.6,0.27,0.15,-10.59,493426251,0.17,107,109551,0.13,0.98,48
Tiny Dancer,Elton John,Pop,2000,130,0.65,0.39,0.66,-27.11,502433303,0.99,105,154888,0.31,0.04,57
Like a Virgin,Madonna,Pop,2008,135,0.61,0.76,0.12,-7.7,442514125,0.43,131,35374,0.31,0.13,48
Rap God,Eminem,Rock,2007,156,1.0,0.66,0.34,-23.23,279305703,0.15,221,65594,0.56,0.74,53
Diamonds,Rihanna,Rock,1985,94,0.48,0.57,0.96,-32.5,277340114,0.86,44,142278,0.18,0.91,70
Levitating,Dua Lipa,Eletrônica,2020,179,0.34,0.37,0.62,-52.55,741823829,0.73,132,34755,0.2,0.25,54
We Will Rock You,Queen,Eletrônica,2006,109,0.82,0.45,0.84,-56.98,219025896,0.27,55,120188,0.75,0.09,41
Anti-Hero,Taylor Swift,Eletrônica,1992,143,0.6,0.38,0.96,-50.65,285099643,0.68,135,90303,0.76,0.17,48
Positions,Ariana Grande,Hip-Hop,2020,87,0.26,0.87,0.26,-6.47,548162489,0.36,200,85735,0.72,0.12,42
Thank U Next,Ariana Grande,R&B,1995,175,0.36,1.0,0.82,-3.07,18624850,0.21,52,149276,0.42,0.93,57
Hung Up,Madonna,R&B,2012,110,0.34,0.55,0.89,-58.24,151257041,0.82,106,164580,0.74,0.79,57
Your Song,Elton John,Rock,2012,65,0.49,0.32,0.22,-31.05,729419178,0.88,215,193927,0.45,0.44,54
Yellow,Coldplay,R&B,2010,74,0.86,0.84,0.6,-14.45,604109378,0.16,190,143993,0.03,0.74,67
Don't Start Now,Dua Lipa,R&B,1982,82,0.86,0.21,0.13,-4.88,64024009,0.44,189,80532,0.57,0.93,46
Gimme Gimme Gimme,ABBA,Eletrônica,1998,74,0.45,0.45,0.85,-37.97,600049245,0.5,73,42132,0.36,0.46,55
Starboy,The Weeknd,R&B,1981,107,0.36,0.6,0.4,-44.44,604690482,0.73,38,15441,0.01,0.37,59
Without Me,Eminem,R&B,2003,174,0.56,0.7,0.62,-31.45,396892428,0.07,95,128752,0.78,0.6,46
Hotline Bling,Drake,Pop,2003,138,0.83,0.49,0.99,-58.05,653705434,0.88,74,162098,0.7,0.36,66
Dancing Queen,ABBA,Pop,1994,136,0.78,0.32,0.65,-47.46,635785030,0.87,269,130882,0.49,0.04,55
Dancing Queen,ABBA,Pop,1990,73,0.86,0.37,0.48,-51.97,376429484,0.9,161,793,0.1,0.71,67
Single Ladies,Beyoncé,R&B,1999,64,0.67,0.88,0.74,-19.55,551561660,0.97,280,128867,0.13,0.75,81
24K Magic,Bruno Mars,Rock,1997,92,0.86,0.53,0.55,-33.91,739424624,0.27,204,65984,0.59,0.08,48
Hung Up,Madonna,Rock,2001,149,0.49,0.33,0.37,-20.89,787679684,0.51,142,119662,0.56,0.17,44
Mamma Mia,ABBA,Hip-Hop,2003,77,0.39,0.89,0.82,-0.04,436006394,0.72,65,79748,0.53,0.97,70
Baby,Justin Bieber,Pop,1988,164,0.22,0.46,0.93,-56.86,351010460,0.03,145,98146,0.11,0.33,40
Like a Virgin,Madonna,Hip-Hop,2019,114,0.21,0.79,0.5,-30.46,779120092,0.64,174,29232,0.67,0.68,59
Rocket Man,Elton John,Eletrônica,2024,159,0.43,0.47,0.53,-44.84,327577313,0.08,127,10887,0.62,0.64,40
Hotline Bling,Drake,R&B,1995,83,0.63,0.27,0.25,-40.46,34756980,0.86,203,24222,0.8,0.83,49
Blinding Lights,The Weeknd,R&B,2001,135,0.64,0.35,0.68,-10.79,102309712,0.04,16,82980,0.78,0.08,28
Don't Start Now,Dua Lipa,Eletrônica,2021,68,0.75,0.82,0.53,-49.37,605183429,0.26,119,180817,0.01,0.49,62
Girls Like You,Maroon 5,Hip-Hop,2018,156,0.25,0.99,0.57,-48.03,415586223,0.02,20,154674,0.25,0.27,46
Stronger,Kanye West,Rock,1983,130,0.32,0.69,0.25,-27.98,735245725,0.29,99,176537,0.26,0.08,44
Gimme Gimme Gimme,ABBA,Rock,1992,159,0.8,0.91,0.54,-9.25,567145157,0.04,211,2134,0.06,0.42,59
Hung Up,Madonna,R&B,1984,76,0.78,0.65,0.62,-18.59,169486992,0.63,132,199268,0.29,0.41,58
Dancing Queen,ABBA,Rock,1999,164,0.36,0.6,0.56,-33.02,678775545,0.28,242,134787,0.17,0.23,48
Beat It,Michael Jackson,Rock,2009,129,0.94,0.65,0.97,-34.14,96420179,0.35,23,78378,0.35,0.57,60
Starboy,The Weeknd,Eletrônica,2023,128,0.55,0.85,0.65,-26.62,408266969,0.51,260,130523,0.75,0.79,61
Fix You,Coldplay,Pop,1987,66,0.71,0.4,0.34,-44.95,129404867,0.18,95,129681,0.2,0.31,39
Stronger,Kanye West,Eletrônica,2010,169,0.93,0.83,0.42,-44.62,711702325,0.54,267,83105,0.56,0.33,63
Shake It Off,Taylor Swift,Eletrônica,2013,149,0.63,0.66,0.19,-59.73,186284734,0.49,287,5389,0.73,0.78,51
One Dance,Drake,Pop,2019,143,0.53,0.34,0.89,-1.02,785644500,0.05,272,187404,0.21,0.46,49
Blinding Lights,The Weeknd,R&B,2023,99,0.67,0.74,0.34,-21.16,346624249,0.8,248,165522,0.5,0.33,58
Rocket Man,Elton John,Hip-Hop,2011,123,0.71,0.68,0.44,-23.22,678344609,0.2,231,117181,0.08,0.46,57
Stronger,Kanye West,Rock,2007,131,0.58,0.43,0.7,-30.37,185281384,0.18,53,40061,0.41,0.04,36
Without Me,Eminem,R&B,1992,169,0.95,0.73,0.58,-16.62,109452722,0.53,130,80284,0.05,0.42,62
Bohemian Rhapsody,Queen,Pop,2024,85,0.68,0.72,0.53,-14.62,689741111,0.94,62,157766,0.74,0.03,60
Hotline Bling,Drake,Hip-Hop,2002,129,0.98,0.61,0.65,-54.15,785699331,0.08,252,199495,0.33,0.64,61
Viva La Vida,Coldplay,R&B,1986,122,0.64,0.21,0.14,-54.34,784234165,0.66,161,195216,0.06,0.59,56
Yellow,Coldplay,Eletrônica,1992,144,0.95,0.44,0.9,-22.25,779033220,0.05,89,134000,0.6,0.4,52
God's Plan,Drake,Rock,2009,171,0.53,0.36,0.63,-47.25,506944440,0.3,112,112064,0.46,0.62,48
Peaches,Justin Bieber,Hip-Hop,1985,75,0.84,0.73,0.44,-13.15,398770632,0.07,104,24662,0.05,0.53,55
Lose Yourself,Eminem,Rock,2005,157,0.6,0.63,0.77,-43.84,483960840,0.26,190,175137,0.13,0.04,49
Thank U Next,Ariana Grande,Rock,2022,125,0.71,0.8,0.88,-4.83,614573775,0.15,39,119499,0.44,0.39,57
Blank Space,Taylor Swift,Eletrônica,1988,136,0.89,0.41,0.96,-40.28,278954981,0.76,171,119854,0.68,0.49,60
Gimme Gimme Gimme,ABBA,Eletrônica,2010,134,0.51,0.42,0.27,-55.39,103504932,0.96,19,155836,0.52,0.99,58
Don't Stop Me Now,Queen,R&B,1989,66,0.67,0.45,0.72,-8.37,511706703,0.89,98,121161,0.78,0.47,59
Viva La Vida,Coldplay,Pop,2008,130,1.0,0.78,0.87,-38.16,715027189,0.06,25,21644,0.68,0.47,59
7 rings,Ariana Grande,Rock,1985,136,0.25,0.63,0.13,-29.24,478986556,0.37,278,124841,0.24,0.32,43
Hotline Bling,Drake,Rock,1980,176,0.58,0.88,0.19,-56.74,677175735,0.46,72,149851,0.49,0.61,60
Perfect,Ed Sheeran,R&B,2012,176,0.64,0.45,0.8,-35.02,5857869,0.36,108,25415,0.5,0.35,44
Hung Up,Madonna,R&B,2018,75,0.34,0.83,0.82,-28.98,177473371,0.56,179,32545,0.13,0.38,57
Anti-Hero,Taylor Swift,Eletrônica,1988,148,0.92,0.5,0.28,-11.06,232173817,0.86,79,104898,0.5,0.04,52
Bohemian Rhapsody,Queen,Pop,2017,84,0.28,0.98,0.89,-12.8,559192541,0.37,106,190037,0.39,0.25,56
Perfect,Ed Sheeran,R&B,2000,162,0.9,0.33,0.6,-46.59,143781487,0.22,144,186446,0.35,0.13,40
Bohemian Rhapsody,Queen,Eletrônica,1989,136,0.89,0.63,0.89,-15.74,320829751,0.17,291,41383,0.18,0.41,56
Thriller,Michael Jackson,Rock,1989,176,0.62,0.69,0.73,-41.18,698862519,0.22,126,146669,0.32,0.67,60
Break My Soul,Beyoncé,Rock,2012,156,0.23,0.44,0.61,-11.44,94404801,0.37,245,196552,0.3,0.84,46
Positions,Ariana Grande,Pop,2005,92,0.58,0.3,0.31,-45.41,168075640,0.75,209,114239,0.74,0.73,48
Photograph,Ed Sheeran,Eletrônica,2003,123,0.23,0.65,0.73,-11.3,687291603,0.55,42,31446,0.35,0.05,50
Perfect,Ed Sheeran,Hip-Hop,1983,179,0.77,0.69,0.15,-28.29,32580582,0.66,67,11837,0.69,0.56,51
Heartless,Kanye West,Eletrônica,1996,142,0.32,0.47,0.37,-27.95,159967890,0.65,105,8030,0.24,0.63,49
Tiny Dancer,Elton John,Hip-Hop,1986,80,0.23,0.85,0.69,-3.92,753060825,0.53,92,179212,0.44,0.63,62
Lose Yourself,Eminem,R&B,2006,83,0.54,0.69,0.2,-33.61,269437476,0.35,247,47809,0.4,0.44,46
Grenade,Bruno Mars,Hip-Hop,1987,89,0.29,0.54,0.21,-42.56,65586276,0.65,213,6218,0.74,0.92,47
Heartless,Kanye West,R&B,2002,161,0.41,0.75,0.95,-55.38,11026813,0.35,46,73431,0.23,0.49,52
Anti-Hero,Taylor Swift,Hip-Hop,2004,152,0.82,0.35,0.68,-2.16,627089609,0.21,55,16064,0.13,0.07,47
Sorry,Justin Bieber,Eletrônica,2007,158,0.72,0.83,0.71,-21.53,8306143,0.03,108,184075,0.74,1.0,52
Memories,Maroon 5,Eletrônica,2010,71,0.35,0.53,0.74,-16.09,469949094,0.3,263,21578,0.62,0.49,46
Baby,Justin Bieber,Hip-Hop,2015,65,0.39,0.66,0.18,-28.84,517471878,0.98,55,43910,0.32,0.54,61
Hung Up,Madonna,Hip-Hop,1984,176,0.64,0.82,0.33,-8.45,184725102,0.42,289,167620,0.24,0.18,50
Stronger,Kanye West,Hip-Hop,1992,60,0.59,0.71,0.97,-19.47,556568026,0.09,50,129815,0.19,0.06,50
One Dance,Drake,R&B,1990,114,0.92,0.58,0.15,-18.85,119209974,0.18,174,35257,0.7,0.54,43
Blank Space,Taylor Swift,Hip-Hop,1994,154,0.99,0.29,0.39,-48.93,762780525,0.4,8,146764,0.52,0.06,47
Baby,Justin Bieber,Pop,1983,127,0.61,0.41,0.42,-13.71,362771725,0.63,228,70215,0.35,0.44,51
Shake It Off,Taylor Swift,R&B,2020,177,0.44,0.84,0.26,-14.61,195604834,0.78,109,62542,0.23,0.03,52
Like a Virgin,Madonna,Eletrônica,2017,79,0.7,0.58,0.42,-47.8,409428659,0.77,255,8124,0.52,0.12,53
Diamonds,Rihanna,Hip-Hop,2016,90,0.32,0.74,0.99,-40.42,578772864,0.13,37,62741,0.42,0.44,51
Heartless,Kanye West,R&B,2004,178,0.73,0.45,0.41,-54.07,104009170,0.38,236,115128,0.66,0.62,45
Save Your Tears,The Weeknd,Rock,2014,121,0.93,0.99,0.48,-28.49,613812465,0.24,150,32807,0.58,0.45,61
Perfect,Ed Sheeran,Eletrônica,1994,140,0.38,0.61,0.1,-47.5,435380275,0.99,34,83861,0.39,0.36,55
Without Me,Eminem,R&B,1997,171,0.25,0.54,0.62,-56.38,139249711,0.12,275,78225,0.11,0.59,42
Blank Space,Taylor Swift,Eletrônica,2017,150,0.29,0.9,0.43,-13.02,718060306,0.22,15,57994,0.24,0.16,50
Gold Digger,Kanye West,Rock,1986,96,0.68,0.7,0.71,-27.55,404249958,0.63,260,57660,0.77,0.92,65
Gimme Gimme Gimme,ABBA,R&B,1983,112,0.62,0.68,0.13,-21.55,780196203,0.72,278,128898,0.19,0.54,64
New Rules,Dua Lipa,Hip-Hop,2007,119,0.84,0.26,0.11,-29.82,350179926,0.41,236,22079,0.05,0.74,52
Viva La Vida,Coldplay,R&B,2005,178,0.85,0.56,0.23,-35.35,12023492,0.69,298,198369,0.1,0.78,60
Sorry,Justin Bieber,Rock,2005,92,0.67,0.62,0.22,-33.99,265069800,0.22,100,149679,0.18,0.71,51
Anti-Hero,Taylor Swift,Pop,2024,86,0.99,0.22,0.93,-45.42,96535372,0.68,170,89819,0.22,0.22,54
Grenade,Bruno Mars,Hip-Hop,2014,146,0.75,0.97,0.46,-57.41,266425784,0.37,49,138188,0.16,0.19,57
Blinding Lights,The Weeknd,Eletrônica,2004,141,0.78,1.0,0.18,-59.97,111052186,0.39,44,142053,0.03,0.7,62
Lose Yourself,Eminem,Eletrônica,1995,113,0.88,0.39,0.14,-53.5,730837538,0.21,131,104674,0.34,0.94,56
Hung Up,Madonna,R&B,2024,102,0.39,0.77,0.28,-13.12,23713384,0.55,185,166894,0.12,0.27,48
Shape of You,Ed Sheeran,Rock,1995,143,0.31,0.45,0.93,-26.86,639054766,0.19,225,173268,0.04,0.16,46
Baby,Justin Bieber,R&B,1986,87,0.76,0.95,0.32,-35.93,114195613,0.53,113,3499,0.13,0.58,63
Tití Me Preguntó,Bad Bunny,Pop,1980,78,0.92,0.94,0.95,-48.46,765713522,0.07,224,51420,0.77,0.08,56
Rocket Man,Elton John,R&B,1990,104,0.51,0.29,0.4,-27.15,259849551,0.93,169,28354,0.27,0.69,56
Sorry,Justin Bieber,Rock,2024,136,0.76,0.64,0.36,-31.5,250901666,0.06,193,152840,0.27,0.91,53
Uptown Funk,Bruno Mars,R&B,2008,162,0.72,0.94,0.31,-1.37,574271255,0.66,3,58376,0.8,0.38,60
Break My Soul,Beyoncé,Hip-Hop,2022,133,0.38,0.75,1.0,-0.94,766970294,0.36,116,133734,0.56,0.95,66
Lose Yourself,Eminem,R&B,2020,118,0.22,0.3,0.31,-7.85,165603205,0.44,159,157893,0.07,0.0,32
Gold Digger,Kanye West,R&B,2021,162,0.21,0.7,0.66,-51.0,356623459,0.45,105,180162,0.38,0.64,53
Girls Like You,Maroon 5,Pop,2009,98,0.3,0.82,0.19,-26.05,664022189,0.53,61,159874,0.55,0.29,50
Sugar,Maroon 5,Pop,2016,73,0.62,0.54,0.49,-45.58,501610980,0.18,155,53329,0.64,0.44,45
Anti-Hero,Taylor Swift,R&B,2010,138,0.5,0.23,0.28,-20.46,13767739,0.08,128,137050,0.62,0.95,34
New Rules,Dua Lipa,Rock,2012,125,0.72,0.63,0.11,-9.66,154710486,0.05,195,115249,0.0,0.49,44
Vogue,Madonna,Pop,1995,166,0.44,0.9,0.44,-51.47,160269603,0.25,178,40369,0.13,0.47,51
Viva La Vida,Coldplay,Pop,1980,162,0.6,0.9,0.22,-49.62,258368600,0.9,109,141944,0.47,0.52,63
Gold Digger,Kanye West,Pop,2012,97,0.55,0.77,0.68,-6.23,90029917,0.89,42,37929,0.47,0.82,66
Work,Rihanna,R&B,2023,82,0.85,0.82,0.88,-7.95,58945368,0.7,261,94459,0.51,0.93,71
Hotline Bling,Drake,Pop,1987,100,0.52,0.4,0.27,-25.23,381152295,0.16,63,70095,0.12,0.28,39
Bohemian Rhapsody,Queen,Eletrônica,2019,149,0.89,0.63,0.68,-51.37,333078721,0.59,117,38479,0.27,0.96,70
Sugar,Maroon 5,Pop,2021,85,0.34,0.58,0.59,-42.2,72165351,0.61,268,100744,0.04,0.58,54
7 rings,Ariana Grande,Hip-Hop,2013,126,0.7,0.35,0.58,-31.65,268607393,0.31,263,130786,0.52,0.47,44
Halo,Beyoncé,Eletrônica,1990,72,0.54,0.73,0.75,-20.05,467794619,0.7,126,59775,0.65,0.07,54
Don't Start Now,Dua Lipa,Hip-Hop,1982,110,0.97,0.21,0.3,-54.22,40017082,0.63,109,127464,0.27,0.65,51
We Will Rock You,Queen,Hip-Hop,2015,104,0.72,0.58,0.28,-24.91,105804475,0.58,30,131676,0.65,0.46,48
Vogue,Madonna,Hip-Hop,2004,85,0.91,0.69,0.74,-5.86,57443227,0.04,93,73735,0.24,0.79,55
Fix You,Coldplay,R&B,2000,128,0.52,0.48,0.75,-36.03,183698635,0.32,95,125821,0.42,0.36,44
Levitating,Dua Lipa,Rock,2002,135,0.49,0.57,0.16,-57.82,411438347,0.3,281,106932,0.5,0.87,49
Work,Rihanna,R&B,1981,71,0.54,0.31,0.75,-28.52,154059805,0.36,293,71944,0.77,0.93,47
Starboy,The Weeknd,Rock,2008,157,0.27,0.92,0.54,-8.64,269420026,0.23,134,66718,0.18,0.68,54
Uptown Funk,Bruno Mars,Rock,2005,110,0.25,0.72,0.18,-3.75,366612424,0.98,33,139176,0.59,0.28,52
Sugar,Maroon 5,Rock,1982,72,0.85,0.51,0.89,-16.89,679800765,0.55,73,111636,0.06,0.26,64
Halo,Beyoncé,R&B,2005,149,0.51,0.96,0.5,-52.56,228076468,0.94,181,117280,0.03,0.44,69
God's Plan,Drake,Rock,2020,118,0.69,0.5,0.16,-11.83,679669665,0.1,27,13313,0.4,0.76,49
Mamma Mia,ABBA,R&B,2017,180,0.93,0.34,0.26,-55.77,148282130,0.64,199,54088,0.67,0.74,52
Work,Rihanna,Eletrônica,2022,104,0.9,0.26,0.47,-24.62,107024428,0.3,200,88390,0.54,0.43,41
New Rules,Dua Lipa,Rock,1994,159,0.71,0.31,0.37,-47.61,426369479,0.66,61,4690,0.76,0.86,54
Blinding Lights,The Weeknd,R&B,2017,69,0.72,0.9,0.5,-49.79,358986758,0.15,68,67161,0.56,0.78,57
Mamma Mia,ABBA,R&B,1989,108,0.79,0.82,0.69,-34.98,584660843,0.47,135,138277,0.12,0.62,69
Save Your Tears,The Weeknd,Hip-Hop,2002,145,0.63,0.43,0.25,-3.47,309699981,0.49,295,8177,0.76,0.96,51
Diamonds,Rihanna,Pop,1990,170,0.66,0.92,0.23,-45.99,773710085,0.04,281,121976,0.09,0.6,59
Vogue,Madonna,Eletrônica,2008,140,0.56,0.39,0.63,-1.2,436784118,0.42,253,179612,0.56,0.45,47
Sugar,Maroon 5,Pop,1993,121,0.92,0.46,0.58,-2.91,630046170,0.28,55,21426,0.26,0.84,62
Viva La Vida,Coldplay,Eletrônica,2013,118,0.94,0.4,0.27,-2.39,195183838,0.66,139,14368,0.41,0.49,53
Levitating,Dua Lipa,R&B,2004,140,0.91,0.66,0.78,-40.35,230905170,0.39,290,27014,0.5,0.95,64
Dancing Queen,ABBA,Eletrônica,1993,85,0.68,0.63,0.53,-53.73,524778841,0.96,177,64131,0.37,0.01,60
Bohemian Rhapsody,Queen,Hip-Hop,1998,124,0.41,0.85,0.92,-4.57,350409739,0.06,239,3301,0.32,0.89,58
Umbrella,Rihanna,Rock,1981,168,0.63,0.52,0.67,-45.97,503490965,0.41,146,184479,0.79,0.02,43
Mamma Mia,ABBA,R&B,2019,121,0.88,0.7,0.57,-15.12,3385936,0.87,76,84825,0.63,0.48,61
24K Magic,Bruno Mars,Eletrônica,2009,83,0.87,0.86,0.65,-36.18,482952758,0.62,126,156726,0.76,0.86,70
Perfect,Ed Sheeran,Hip-Hop,1992,154,0.57,0.53,0.25,-20.58,262477546,0.81,32,168579,0.04,0.71,61
New Rules,Dua Lipa,Hip-Hop,2023,114,0.52,0.52,0.61,-31.03,534673181,0.38,53,120830,0.14,0.1,48
Grenade,Bruno Mars,Rock,2020,179,0.94,0.51,0.55,-25.23,788017291,0.16,242,156259,0.24,0.62,59
Grenade,Bruno Mars,Hip-Hop,2012,164,0.96,0.43,0.55,-48.2,385997853,0.8,47,162393,0.58,0.29,57
Shape of You,Ed Sheeran,Pop,1985,167,0.4,0.28,0.84,-20.03,271837664,0.82,41,28460,0.07,0.67,59
Sorry,Justin Bieber,R&B,1988,102,0.31,0.24,0.1,-40.36,244577885,0.33,17,143670,0.7,0.93,37
Dancing Queen,ABBA,R&B,2004,169,0.57,0.56,0.71,-38.63,95358141,0.78,100,14258,0.29,0.45,57
Thriller,Michael Jackson,R&B,1989,160,0.61,0.29,0.68,-46.49,167336263,0.85,192,31463,0.48,0.43,52
One Dance,Drake,Pop,1991,151,0.36,0.41,0.68,-48.45,312210105,0.91,43,78204,0.58,0.13,48
Shake It Off,Taylor Swift,R&B,1984,121,0.59,0.45,0.59,-38.74,291131497,0.28,194,92982,0.08,0.58,50
Blinding Lights,The Weeknd,R&B,2008,143,0.85,0.28,0.23,-8.93,490028281,0.25,228,7307,0.55,0.03,36
Your Song,Elton John,Hip-Hop,1981,88,0.8,0.84,0.93,-50.9,544133698,0.12,249,171393,0.48,0.6,61
Grenade,Bruno Mars,Hip-Hop,1983,66,0.5,0.72,0.4,-47.25,611803364,0.27,203,199900,0.75,0.83,53
Rap God,Eminem,R&B,1998,75,0.62,0.45,0.74,-21.01,569198959,0.24,198,109597,0.78,0.17,42
7 rings,Ariana Grande,Pop,1982,61,0.32,0.35,0.67,-26.51,87450444,0.12,155,114269,0.71,0.29,29
Diamonds,Rihanna,Rock,1991,111,0.41,0.34,0.99,-12.28,261169623,0.83,297,166622,0.05,0.07,53
Photograph,Ed Sheeran,R&B,2005,110,0.84,0.48,0.38,-11.43,88970710,0.18,78,181558,0.11,0.32,44
Umbrella,Rihanna,R&B,1992,156,0.4,0.41,0.75,-7.46,543589218,0.15,202,151071,0.34,0.51,45
We Will Rock You,Queen,Pop,2010,164,0.41,0.69,0.49,-58.47,651788558,0.67,115,164143,0.23,0.17,56
One Dance,Drake,Pop,1981,157,0.47,0.98,0.72,-35.57,259811955,0.02,183,67183,0.12,0.86,59
Billie Jean,Michael Jackson,R&B,2013,99,0.87,0.23,0.86,-19.84,77466115,0.04,268,30771,0.39,0.6,43
Beat It,Michael Jackson,Eletrônica,2001,98,0.32,0.6,0.29,-25.39,230025317,0.94,41,145922,0.45,0.99,61
Diamonds,Rihanna,R&B,1981,126,0.66,0.76,0.79,-41.96,147579525,0.47,211,134893,0.52,0.28,53
Mamma Mia,ABBA,Rock,2005,116,0.78,0.35,0.99,-22.31,106647524,0.09,227,106115,0.27,0.55,47
Billie Jean,Michael Jackson,Pop,2012,64,0.42,0.41,0.22,-58.88,684262058,0.77,261,3424,0.64,0.52,52
We Will Rock You,Queen,Hip-Hop,2021,117,0.68,0.51,0.75,-51.2,611022719,0.96,53,194660,0.79,0.22,60
Baby,Justin Bieber,Hip-Hop,2012,112,0.98,0.98,0.28,-27.8,69009518,0.23,65,78327,0.25,0.5,57
God's Plan,Drake,R&B,2007,158,0.88,0.71,0.46,-14.15,417238834,0.83,192,27652,0.05,0.7,73
Dakiti,Bad Bunny,Rock,2018,115,0.65,0.24,0.34,-31.88,43207757,0.04,121,38638,0.42,0.81,37
Save Your Tears,The Weeknd,Hip-Hop,2017,84,0.91,0.79,0.54,-17.85,404016046,0.14,129,108273,0.01,0.34,57
Starboy,The Weeknd,Eletrônica,2019,70,0.28,0.37,0.43,-12.3,793439494,0.45,37,7595,0.17,0.04,43
Uptown Funk,Bruno Mars,Rock,2015,128,0.21,0.98,0.68,-19.54,491104396,0.53,83,165665,0.4,0.57,60
Starboy,The Weeknd,Pop,2000,65,0.72,0.71,0.77,-23.72,630816523,0.7,166,12845,0.38,0.09,62
Sorry,Justin Bieber,Rock,2023,170,0.58,0.43,0.73,-21.09,537352569,0.66,114,182950,0.41,0.26,54
One Dance,Drake,Rock,1985,106,0.89,0.49,0.44,-58.39,747482653,0.94,77,67952,0.23,0.19,66
Rap God,Eminem,Hip-Hop,1985,148,0.3,0.29,0.71,-20.88,43202494,0.86,247,157015,0.6,0.69,49
Tití Me Preguntó,Bad Bunny,R&B,1983,83,0.2,0.32,0.7,-10.03,625096549,0.46,57,138321,0.14,0.46,48
Halo,Beyoncé,Eletrônica,1998,97,0.29,0.37,0.6,-49.01,34818250,0.1,265,160267,0.48,0.58,34
Umbrella,Rihanna,Hip-Hop,2006,153,0.6,0.69,0.5,-30.51,621956648,0.39,204,127198,0.32,0.57,58
Starboy,The Weeknd,Rock,1989,89,0.62,0.4,0.57,-46.02,8126409,0.73,216,22436,0.47,0.27,47
Dancing Queen,ABBA,Pop,2015,156,0.97,0.83,0.78,-2.34,105806086,0.17,170,103446,0.49,0.99,63
24K Magic,Bruno Mars,Pop,1984,162,0.26,0.32,0.4,-32.86,661696749,0.7,53,187553,0.03,0.68,56
Blank Space,Taylor Swift,Rock,2021,113,0.85,0.37,0.21,-44.98,584280918,0.86,150,154011,0.38,0.48,60
Umbrella,Rihanna,R&B,1984,159,0.57,0.46,0.78,-51.66,715894061,0.31,266,166308,0.11,0.41,55
Work,Rihanna,Pop,1984,149,0.8,0.63,0.52,-18.07,1412010,0.49,118,163386,0.14,0.79,60
24K Magic,Bruno Mars,Hip-Hop,2021,133,0.31,0.21,0.39,-0.05,737255590,0.43,89,3885,0.68,0.55,42
Rap God,Eminem,Pop,1998,97,0.32,0.4,0.51,-27.54,202464871,0.84,218,93321,0.68,0.43,46
Work,Rihanna,Pop,2021,153,0.51,0.31,0.53,-36.39,115236871,0.19,191,65595,0.59,0.06,29
